Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,25,25.5,61.5,28,308,2520,28.0,67,47,114,59,8,8,43,2,56.6,50.5,39.4,89.9,628,1638,2.39,1.68,4.07,2.11,3.79,2.02,1.41,3.43,1.8,3.21
Aston Villa,28,27.6,54.7,28,308,2520,28.0,56,41,97,52,4,4,73,2,51.0,48.0,37.6,85.6,600,1142,2.0,1.46,3.46,1.86,3.32,1.82,1.34,3.17,1.71,3.06
Bournemouth,28,26.4,44.9,28,308,2520,28.0,41,30,71,40,1,2,57,2,42.6,41.0,30.8,71.8,523,1004,1.46,1.07,2.54,1.43,2.5,1.52,1.1,2.62,1.46,2.57
Brentford,28,27.4,44.4,28,308,2520,28.0,39,24,63,36,3,3,65,1,43.9,41.8,30.6,72.4,346,933,1.39,0.86,2.25,1.29,2.14,1.57,1.09,2.66,1.49,2.58
Brighton,27,26.7,62.3,28,308,2520,28.0,46,35,81,41,5,5,70,3,45.5,41.8,33.3,75.2,637,1402,1.64,1.25,2.89,1.46,2.71,1.62,1.19,2.81,1.49,2.68
Burnley,30,25.2,46.2,28,308,2520,28.0,26,20,46,25,1,1,58,5,25.6,24.8,19.4,44.2,486,813,0.93,0.71,1.64,0.89,1.61,0.92,0.69,1.61,0.89,1.58
Chelsea,30,25.0,58.2,27,297,2430,27.0,46,33,79,39,7,8,86,3,50.1,43.8,34.2,78.0,594,1148,1.7,1.22,2.93,1.44,2.67,1.85,1.27,3.12,1.62,2.89
Crystal Palace,26,27.6,41.9,28,308,2520,28.0,33,24,57,29,4,4,54,1,33.1,29.9,25.6,55.5,364,828,1.18,0.86,2.04,1.04,1.89,1.18,0.92,2.1,1.07,1.98
Everton,25,27.5,40.1,28,308,2520,28.0,29,14,43,29,0,1,59,1,42.3,41.6,30.5,72.0,380,849,1.04,0.5,1.54,1.04,1.54,1.51,1.09,2.6,1.48,2.57
Fulham,25,29.3,50.0,28,308,2520,28.0,39,28,67,37,2,2,67,3,36.6,35.0,27.1,62.0,467,1059,1.39,1.0,2.39,1.32,2.32,1.31,0.97,2.27,1.25,2.22
Liverpool,29,27.0,60.2,28,308,2520,28.0,61,48,109,56,5,8,53,5,62.6,56.0,45.5,101.6,658,1463,2.18,1.71,3.89,2.0,3.71,2.23,1.63,3.86,2.0,3.63
Luton Town,25,27.4,41.7,28,308,2520,28.0,38,26,64,34,4,4,54,0,34.7,31.7,24.3,56.0,508,815,1.36,0.93,2.29,1.21,2.14,1.24,0.87,2.11,1.13,2.0
Manchester City,25,27.3,65.0,28,308,2520,28.0,62,47,109,58,4,5,47,2,56.6,52.9,43.5,96.3,852,1503,2.21,1.68,3.89,2.07,3.75,2.02,1.55,3.57,1.89,3.44
Manchester Utd,30,27.0,50.4,28,308,2520,28.0,39,26,65,35,4,5,67,1,43.3,39.3,30.9,70.1,555,1118,1.39,0.93,2.32,1.25,2.18,1.54,1.1,2.65,1.4,2.51
Newcastle Utd,32,28.0,52.9,28,308,2520,28.0,58,38,96,53,5,5,59,0,51.1,47.2,33.4,80.6,507,1128,2.07,1.36,3.43,1.89,3.25,1.83,1.19,3.02,1.69,2.88
Nott'ham Forest,33,26.3,40.2,28,308,2520,28.0,34,29,63,33,1,1,67,3,34.5,33.7,27.4,61.2,416,817,1.21,1.04,2.25,1.18,2.21,1.23,0.98,2.21,1.2,2.18
Sheffield Utd,33,26.6,35.7,28,308,2520,28.0,21,10,31,17,4,4,83,4,25.2,22.1,15.0,37.1,236,613,0.75,0.36,1.11,0.61,0.96,0.9,0.54,1.43,0.79,1.32
Tottenham,28,25.8,60.7,27,297,2430,27.0,56,47,103,55,1,1,64,4,47.0,46.2,39.9,86.0,679,1484,2.07,1.74,3.81,2.04,3.78,1.74,1.48,3.22,1.71,3.19
West Ham,24,28.8,41.8,28,308,2520,28.0,44,31,75,41,3,4,67,3,39.0,35.9,25.1,61.0,415,901,1.57,1.11,2.68,1.46,2.57,1.39,0.9,2.29,1.28,2.18
Wolves,25,27.5,47.9,28,308,2520,28.0,39,32,71,36,3,3,70,3,37.6,35.2,26.6,61.8,530,913,1.39,1.14,2.54,1.29,2.43,1.34,0.95,2.29,1.26,2.21
